Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Status,Created,Custom field (Equipe Dédiée),Custom field (Criticité),Custom field (Eng. Documentation),Custom field (Engagement DIAGNOSTIC),Custom field (Engagement CR),Custom field (Engagement TEST),Custom field (Eng. TEST Supplémentaire),Custom field (Eng. Vérification données),Custom field (Eng. Test P3),Custom field (Eng. Test P2),Custom field (Eng. Test P1),Custom field (Team),Σ Remaining Estimate,Σ Original Estimate,Custom field (Estimation Test),Remaining Estimate,Original estimate,Resolved,Custom field (Story point estimate),Custom field (Story Points),Custom field (Development),Custom field (Eng. Développement P1),Custom field (Eng. Développement P2),Custom field (Eng. Développement P3),Custom field (Engagement DÉVELOPPEMENT),Custom field (Provoqué Par),Custom field (Provoqué Par)Id,Custom field (Scope),Reporter,Reporter Id
Bug,AWA-12707,66098,[Libye]Blocage de suppression cmd N° 7932865 ,souad.hamdoun,712020:464f04b4-9c98-4505-a8da-51c8dfad6b15,Déployé,05/Feb/26 11:11 AM,équipe support et maintenance,🟠 Majeur,,60m,5m,,,,,,,,7200,7200,,7200,7200,23/Feb/26 8:27 AM,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2026-02-23T10:37:13.204+0100"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""bitbucket"":{""count"":1,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,420,,,unclassified,Sirine Boubaker,5f06f55107efc40028e47d60
Support,AWA-12705,66092,"[ Tunisie] : Changement Etat commande de ""en attente"" vers ""en cours"" 8666454",souad.hamdoun,712020:464f04b4-9c98-4505-a8da-51c8dfad6b15,Déployé,05/Feb/26 10:29 AM,équipe support et maintenance,,,,5,0,,,,,,,1200,1200,,1200,1200,10/Feb/26 3:58 PM,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2026-02-05T11:15:55.297+0100"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""bitbucket"":{""count"":1,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,15,,,Demandes support récurrentes,Ghassen Boumaiza,5f06f5504c7d53001a8c04c3
Bug,AWA-12704,65819,[Shopping Voucher] Rubrique non affichée dans le menu malgré l’attribution d’un Shopping Voucher au conseiller,souad.hamdoun,712020:464f04b4-9c98-4505-a8da-51c8dfad6b15,Déployé,04/Feb/26 3:23 PM,équipe support et maintenance,🔴 Critique,,,5,,,,,,,,3600,3600,,3600,3600,04/Feb/26 4:32 PM,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2026-02-04T15:58:38.565+0100"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""bitbucket"":{""count"":1,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,37,Asma Ayari,5d0a4409307c2e0bc4038d00,Système Bon d'achat,souad.hamdoun,712020:464f04b4-9c98-4505-a8da-51c8dfad6b15
Bug,AWA-12703,65817,Implement SQL Injection Protection,Haythem Ben Khlifa,712020:638f1130-b998-4f2a-8828-0465fc109e6e,Déployé,04/Feb/26 3:18 PM,équipe support et maintenance,🔴 Critique,,,5m,,,,,,,,28800,28800,,28800,28800,06/Feb/26 3:16 PM,,,{},,,,885m,,,Migration vers Postgres,Haythem Ben Khlifa,712020:638f1130-b998-4f2a-8828-0465fc109e6e
Task,AWA-12702,65751,Configuration Bonus non présente dans le journal d’audit,Iheb Jabri,712020:adb4d067-bfee-4be7-8884-f3e26703af1c,Terminé,04/Feb/26 1:03 PM,équipe support et maintenance,🟠 Majeur,,,10,,,,,,,,7200,7200,,7200,7200,12/Feb/26 2:34 PM,,,"{pullrequest={dataType=pullrequest, state=OPEN, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2026-02-05T15:08:10.255+0100"",""stateCount"":1,""state"":""OPEN"",""dataType"":""pullrequest"",""open"":true},""byInstanceType"":{""bitbucket"":{""count"":1,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,180,,,Bonus Box,Iheb Jabri,712020:adb4d067-bfee-4be7-8884-f3e26703af1c
Bug,AWA-12701,65101,"[Tous pays][Prod] :  Correction privilège "" Consulter journal d'audit "" ",Iheb Jabri,712020:adb4d067-bfee-4be7-8884-f3e26703af1c,Déployé,03/Feb/26 1:05 PM,équipe support et maintenance,🟠 Majeur,,,5,,,,,,,,1800,1800,,1800,1800,03/Feb/26 3:41 PM,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2026-02-03T14:36:34.847+0100"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""bitbucket"":{""count"":1,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,30,Iheb Jabri,712020:adb4d067-bfee-4be7-8884-f3e26703af1c,Bonus Box,Yasmine Jandoubi,60b8bab6860b9f006ae4fd87
Support,AWA-12699,64988,[Egypte] Appliquer le fuseau horaire  UTC+2 pour tous les actions système,souad.hamdoun,712020:464f04b4-9c98-4505-a8da-51c8dfad6b15,Déployé,03/Feb/26 10:05 AM,équipe support et maintenance,,,,5,,,,,,,,3600,3600,,3600,3600,05/Feb/26 9:45 AM,,,"{branch={count=1, dataType=branch}, json={""cachedValue"":{""errors"":[],""summary"":{""branch"":{""overall"":{""count"":1,""lastUpdated"":""2026-02-03T10:03:32.000+0100"",""dataType"":""branch""},""byInstanceType"":{""bitbucket"":{""count"":1,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,30,,,Demandes support récurrentes,Yasmine Jandoubi,60b8bab6860b9f006ae4fd87
Improvement,AWA-12698,64953,"[Touspays][Bon d'achat] : Ajout d'une colonne "" traitée par """,souad.hamdoun,712020:464f04b4-9c98-4505-a8da-51c8dfad6b15,Déployé,03/Feb/26 9:22 AM,équipe support et maintenance,,,,5,,,,,,,,7200,7200,,7200,7200,03/Feb/26 3:40 PM,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2026-02-03T14:45:10.038+0100"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""bitbucket"":{""count"":1,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,90,,,Système Bon d'achat,Yasmine Jandoubi,60b8bab6860b9f006ae4fd87
Xray Test,AWA-12697,64951,[coordonnées bancaires] : Test Journal d’audit log (Traçabilité des opérations),Iheb Jabri,712020:adb4d067-bfee-4be7-8884-f3e26703af1c,Terminé,03/Feb/26 8:39 AM,équipe support et maintenance,,,,,,,,,,,,28800,28800,,28800,28800,,,,"{pullrequest={dataType=pullrequest, state=OPEN, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2026-02-05T12:10:25.339+0100"",""stateCount"":1,""state"":""OPEN"",""dataType"":""pullrequest"",""open"":true},""byInstanceType"":{""bitbucket"":{""count"":1,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,420,,,,Iheb Jabri,712020:adb4d067-bfee-4be7-8884-f3e26703af1c
Bug,AWA-12696,64949,Database Performance: N+1 Query with Multiple Nested EXISTS on Withdrawal Requests,oussama ferjani,712020:6ab35850-0ac4-44c8-ac4b-8dc7b0c015d6,Déployé,03/Feb/26 8:33 AM,équipe support et maintenance,🔴 Critique,,,5,,,,,,,,2700,2700,,2700,2700,03/Feb/26 10:03 AM,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2026-02-03T10:03:12.367+0100"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""bitbucket"":{""count"":1,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,45,oussama ferjani,712020:6ab35850-0ac4-44c8-ac4b-8dc7b0c015d6,Bonus Box,oussama ferjani,712020:6ab35850-0ac4-44c8-ac4b-8dc7b0c015d6
Support,AWA-12695,64662,Annulation import lot bon d'achat ,souad.hamdoun,712020:464f04b4-9c98-4505-a8da-51c8dfad6b15,Déployé,02/Feb/26 4:23 PM,équipe support et maintenance,,,,5,,,,,,,,1200,1200,,1200,1200,05/Feb/26 9:46 AM,,,{},,,,15,,,Système Bon d'achat,Habib Dhahak,602996a97b23f40068416aa1
Bug,AWA-12693,64657,[Tous pays ][Prod] : Paiement d'une commande en attente!!!!,souad.hamdoun,712020:464f04b4-9c98-4505-a8da-51c8dfad6b15,Déployé,02/Feb/26 3:32 PM,équipe support et maintenance,🟡 Medium,,,10,,,,,,,,14400,14400,,14400,14400,11/Feb/26 8:57 AM,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2026-02-10T15:45:11.004+0100"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""bitbucket"":{""count"":1,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,225,,,Bonus Box,Yasmine Jandoubi,60b8bab6860b9f006ae4fd87
Xray Test,AWA-12688,64649,[E2E] Bonus Box - Back Navigation and Value Preservation,,,Terminé,02/Feb/26 3:01 PM,équipe support et maintenance,,,,,,,,,,,,,,,,,,,,{},,,,,,,,oussama ferjani,712020:6ab35850-0ac4-44c8-ac4b-8dc7b0c015d6
Xray Test,AWA-12687,64648,[E2E] Bonus Box - Minimum Percentage Validation (10%),,,Terminé,02/Feb/26 3:01 PM,équipe support et maintenance,,,,,,,,,,,,,,,,,,,,{},,,,,,,,oussama ferjani,712020:6ab35850-0ac4-44c8-ac4b-8dc7b0c015d6
Xray Test,AWA-12686,64647,[E2E] Bonus Box - Error Handling for Unverified Bank Details,,,Terminé,02/Feb/26 3:01 PM,équipe support et maintenance,,,,,,,,,,,,,,,,,,,,{},,,,,,,,oussama ferjani,712020:6ab35850-0ac4-44c8-ac4b-8dc7b0c015d6
Xray Test,AWA-12685,64646,[E2E] Bonus Box - Complete Configuration Flow for Multi-Country,,,Terminé,02/Feb/26 3:01 PM,équipe support et maintenance,,,,,,,,,,,,,,,,,,,,{},,,,,,,,oussama ferjani,712020:6ab35850-0ac4-44c8-ac4b-8dc7b0c015d6
Support,AWA-12684,64611,"[ Tunisie] : Changement Etat commande de ""en attente"" vers ""en cours"" 8658334",souad.hamdoun,712020:464f04b4-9c98-4505-a8da-51c8dfad6b15,Déployé,02/Feb/26 2:26 PM,équipe support et maintenance,,,,5,,,,,,,,1200,1200,,1200,1200,02/Feb/26 3:46 PM,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2026-02-02T15:29:39.969+0100"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""bitbucket"":{""count"":1,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,21,,,Bonus Box,Yasmine Jandoubi,60b8bab6860b9f006ae4fd87
Support,AWA-12683,64531,[Libye] : Génération des états de paie automatique : Ajout d'une valeur minimale + modification de date de payout,Iheb Jabri,712020:adb4d067-bfee-4be7-8884-f3e26703af1c,Déployé,02/Feb/26 10:41 AM,équipe support et maintenance,,,,5,,,,,,,,1800,1800,,1800,1800,03/Feb/26 10:14 AM,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2026-02-03T10:03:33.991+0100"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""bitbucket"":{""count"":1,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,5,,,Bonus Box,Yasmine Jandoubi,60b8bab6860b9f006ae4fd87
Story,AWA-12670,64484,Automatiser la suppression d’un chèque,souad.hamdoun,712020:464f04b4-9c98-4505-a8da-51c8dfad6b15,Déployé,02/Feb/26 9:59 AM,équipe support et maintenance,,,,5,,,,,,,,7200,7200,,7200,7200,11/Feb/26 4:02 PM,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2026-02-12T08:38:45.321+0100"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""bitbucket"":{""count"":1,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,290,,,unclassified,souad.hamdoun,712020:464f04b4-9c98-4505-a8da-51c8dfad6b15
Support,AWA-12669,64449,[Tunisie] : Suppression chèque 70% no 709861 pour staff,souad.hamdoun,712020:464f04b4-9c98-4505-a8da-51c8dfad6b15,Déployé,02/Feb/26 9:15 AM,équipe support et maintenance,,,,5,,,,,,,,1200,1200,,1200,1200,02/Feb/26 4:08 PM,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2026-02-02T10:05:25.651+0100"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""bitbucket"":{""count"":1,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,15,,,Demandes support récurrentes,Sirine Boubaker,5f06f55107efc40028e47d60
Technical Task,AWA-12668,64448,[Refactoring Address] Correction du script Export calcul monthly – Liste des conseillers,Wael Dghaies,6149e14a72728e006f96a35e,Terminé,02/Feb/26 9:11 AM,équipe support et maintenance,,,,10,,,,,,,,57600,57600,,57600,57600,26/Feb/26 1:47 PM,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=2}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":2,""lastUpdated"":""2026-02-06T10:12:25.041+0100"",""stateCount"":2,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""bitbucket"":{""count"":2,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,1402,,,Export,Wael Dghaies,6149e14a72728e006f96a35e
Support,AWA-12667,64306,[Tunisie)] Changement des ajustements 1/2/2026,oussama ferjani,712020:6ab35850-0ac4-44c8-ac4b-8dc7b0c015d6,Déployé,01/Feb/26 4:45 PM,équipe support et maintenance,,,,5,,,,,,,,1800,1800,,1800,1800,01/Feb/26 6:06 PM,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2026-02-01T17:25:16.818+0100"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""bitbucket"":{""count"":1,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,30,,,Bonus Box,Yasmine Jandoubi,60b8bab6860b9f006ae4fd87
Support,AWA-12666,64273,[Libye]Erreur d'importation de fichier reçu le 31/01/2026 dans Libye  ,Wael Dghaies,6149e14a72728e006f96a35e,Déployé,01/Feb/26 9:09 AM,équipe support et maintenance,,,,30,,,,,,,,14400,14400,,14400,14400,02/Feb/26 9:06 AM,,,{},,,,195,,,Demandes support récurrentes,Ghassen Boumaiza,5f06f5504c7d53001a8c04c3
Technical Task,AWA-12665,64117,[Refactoring Address] Synchronisation de la branche address-refactor avec main,Asma Ayari,5d0a4409307c2e0bc4038d00,En Revue,30/Jan/26 3:04 PM,équipe support et maintenance,,,,0,,,,,,,,57600,57600,,57600,57600,,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=4}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":4,""lastUpdated"":""2026-03-02T09:07:49.499+0100"",""stateCount"":4,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""bitbucket"":{""count"":4,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,244,,,,Wael Dghaies,6149e14a72728e006f96a35e
Support,AWA-12664,64116,[Tous pays] [Calcul janvier 2026] : Les nouveaux coefficients de change pour un chiffre réalisé en Libye,souad.hamdoun,712020:464f04b4-9c98-4505-a8da-51c8dfad6b15,Déployé,30/Jan/26 3:00 PM,équipe support et maintenance,,,,5,,,,,,,,1200,1200,,1200,1200,31/Jan/26 8:42 AM,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=2}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":2,""lastUpdated"":""2026-01-30T20:24:40.150+0100"",""stateCount"":2,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""bitbucket"":{""count"":2,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,15,,,Demandes support récurrentes,Sirine Boubaker,5f06f55107efc40028e47d60
Sub-task,AWA-12663,64083,Tests automatiques pour la gestion des adresses,Asma Ayari,5d0a4409307c2e0bc4038d00,Terminé,30/Jan/26 2:21 PM,équipe support et maintenance,,,,5,,,,,,,,18000,18000,,18000,18000,09/Feb/26 8:18 AM,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=3}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":3,""lastUpdated"":""2026-02-06T09:39:29.104+0100"",""stateCount"":3,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""bitbucket"":{""count"":3,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,0,,,,Asma Ayari,5d0a4409307c2e0bc4038d00
Support,AWA-12661,63982,[Tunisie] [Egypte]: CHANGEMENT DES AJUSTEMENT Bonus boX 30/01/2026,oussama ferjani,712020:6ab35850-0ac4-44c8-ac4b-8dc7b0c015d6,Terminé,30/Jan/26 11:08 AM,équipe support et maintenance,,,,5,,,,,,,,1800,1800,,1800,1800,30/Jan/26 4:33 PM,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2026-01-30T12:20:49.065+0100"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""bitbucket"":{""count"":1,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,60m,,,Demandes support récurrentes,Yasmine Jandoubi,60b8bab6860b9f006ae4fd87
Support,AWA-12660,63947,[Prod][Cote d'ivoire ][Bonus Box] : Ajout de mode de récupération siège pour pays Cote d'iVoire le 01/02/2026,Nacer Benkhalifa,712020:de263b22-2db5-420a-a2d2-051a4e34a2e4,Terminé,30/Jan/26 10:24 AM,équipe support et maintenance,,,5,5,,,,,,,,1200,1200,,1200,1200,02/Feb/26 1:18 PM,,,{},,,,10,,,Demandes support récurrentes,Yasmine Jandoubi,60b8bab6860b9f006ae4fd87
Exigence,AWA-12659,63912,[Tous pays] [Bonus Box] : Filtre / Journal d'audit/ L’absence de la ligne Bonus Box fausse les données extraites,Iheb Jabri,712020:adb4d067-bfee-4be7-8884-f3e26703af1c,Validation En Cours,30/Jan/26 9:34 AM,équipe support et maintenance,,,,10,,,,,,,,7200,7200,,7200,7200,,,,"{pullrequest={dataType=pullrequest, state=DRAFT, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2026-02-13T11:40:53.215+0100"",""stateCount"":1,""state"":""DRAFT"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""bitbucket"":{""count"":1,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,240,,,Bonus Box,Yasmine Jandoubi,60b8bab6860b9f006ae4fd87
Support,AWA-12658,63876,[Logique Reconnu]: Configuration chiffre hors manager de mois de Février 2026,Nacer Benkhalifa,712020:de263b22-2db5-420a-a2d2-051a4e34a2e4,Terminé,29/Jan/26 4:20 PM,équipe support et maintenance,,,5,5,,,,,,,,300,300,,300,300,01/Feb/26 1:48 PM,,,{},,,,5,,,Demandes support récurrentes,Sirine Boubaker,5f06f55107efc40028e47d60
Support,AWA-12657,63874,[Tous pays] [Calcul janvier2026] : Liste staff à accéder au système ARVEA le 01/02/2026,souad.hamdoun,712020:464f04b4-9c98-4505-a8da-51c8dfad6b15,Déployé,29/Jan/26 4:06 PM,équipe support et maintenance,,,,5,,,,,,,,1200,1200,,1200,1200,02/Feb/26 8:36 AM,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2026-01-30T12:30:37.934+0100"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""bitbucket"":{""count"":1,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,15,,,Demandes support récurrentes,Sirine Boubaker,5f06f55107efc40028e47d60
Support,AWA-12656,63873,[Tunisie] [Calcul Janvier 2026] : Suivi Staff ARVEA,souad.hamdoun,712020:464f04b4-9c98-4505-a8da-51c8dfad6b15,Déployé,29/Jan/26 3:47 PM,équipe support et maintenance,,,,5,,,,,,,,1200,1200,,1200,1200,02/Feb/26 9:32 AM,,,"{pullrequest={dataType=pullrequest, state=DECLINED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2026-02-03T12:05:42.419+0100"",""stateCount"":1,""state"":""DECLINED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""bitbucket"":{""count"":1,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,20,,,Demandes support récurrentes,Sirine Boubaker,5f06f55107efc40028e47d60
Support,AWA-12649,63764,[Migration PostgreSQL]: Export calcul: Demande fichier Détails prime ,Iheb Jabri,712020:adb4d067-bfee-4be7-8884-f3e26703af1c,Terminé,29/Jan/26 10:52 AM,équipe support et maintenance,,,,10,,,,,,,,1800,1800,,1800,1800,30/Jan/26 8:16 AM,,,{},,,,45,,,Migration vers Postgres,Sirine Boubaker,5f06f55107efc40028e47d60
Improvement,AWA-12648,63698,"[Tous pays][Bonus Box][Journal d'audit] : Export journal d'audit / Ajout champ ""Total Bonus à utiliser""  + Statut bonus Box",Iheb Jabri,712020:adb4d067-bfee-4be7-8884-f3e26703af1c,En Attente de Revue,29/Jan/26 9:50 AM,équipe support et maintenance,,,,,,,,,,,,7200,7200,,7200,7200,,,,"{pullrequest={dataType=pullrequest, state=DRAFT, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2026-02-13T15:50:04.278+0100"",""stateCount"":1,""state"":""DRAFT"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""bitbucket"":{""count"":1,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,120,,,Bonus Box,Yasmine Jandoubi,60b8bab6860b9f006ae4fd87
Bug,AWA-12647,63696,Correction des bugs dans les fichiers logs 29-01-2026,Iheb Jabri,712020:adb4d067-bfee-4be7-8884-f3e26703af1c,Déployé,29/Jan/26 9:13 AM,équipe support et maintenance,🟡 Medium,,,5,,,,,,,,1800,1800,,1800,1800,03/Feb/26 12:22 PM,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2026-01-30T09:28:04.121+0100"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""bitbucket"":{""count"":1,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,90,,,Migration vers Postgres,Iheb Jabri,712020:adb4d067-bfee-4be7-8884-f3e26703af1c
Bug,AWA-12646,63663,[Prod] : Masquage commande : Suppression commande avant sa date de suppession,souad.hamdoun,712020:464f04b4-9c98-4505-a8da-51c8dfad6b15,Déployé,29/Jan/26 8:38 AM,équipe support et maintenance,🔴 Critique,,,30,,,,,,,,14400,14400,,14400,14400,31/Jan/26 8:44 AM,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=2}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":2,""lastUpdated"":""2026-02-02T09:24:03.668+0100"",""stateCount"":2,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""bitbucket"":{""count"":2,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,360,,,Masquage des commandes,Yasmine Jandoubi,60b8bab6860b9f006ae4fd87
Support,AWA-12642,63623,[IMPORTANT] Désactiver le transfert automatique des bonus vers la BonusBox pour la Tunisie/ 01/02/2026,oussama ferjani,712020:6ab35850-0ac4-44c8-ac4b-8dc7b0c015d6,Déployé,28/Jan/26 3:13 PM,équipe support et maintenance,,,,0,,,,,,,,1800,1800,,1800,1800,02/Feb/26 1:19 PM,,,{},,,,10m,,,Demandes support récurrentes,Yasmine Jandoubi,60b8bab6860b9f006ae4fd87
Improvement,AWA-12641,63590,|Tous pays] [Bonus Box] : Filtre / Journal d'audit / Amélioration,Iheb Jabri,712020:adb4d067-bfee-4be7-8884-f3e26703af1c,En attente de validation,28/Jan/26 2:06 PM,équipe support et maintenance,,,,15,,,,,,,,10800,10800,,10800,10800,,,,"{pullrequest={dataType=pullrequest, state=DRAFT, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2026-02-13T15:11:48.077+0100"",""stateCount"":1,""state"":""DRAFT"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""bitbucket"":{""count"":1,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,240,,,Bonus Box,Yasmine Jandoubi,60b8bab6860b9f006ae4fd87
Xray Test,AWA-12638,63520,"[coordonnées bancaires] : Tests de Paiement Manuel, auto et Export après modification de l’architecture des coordonnées bancaires",Iheb Jabri,712020:adb4d067-bfee-4be7-8884-f3e26703af1c,Terminé,28/Jan/26 9:39 AM,équipe support et maintenance,,,,,1320,,,,,,,25200,25200,,25200,25200,03/Feb/26 12:21 PM,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2026-02-03T12:04:18.475+0100"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""bitbucket"":{""count"":1,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,,,,Refactoring coordonnées bancaires,Iheb Jabri,712020:adb4d067-bfee-4be7-8884-f3e26703af1c
